,text,intention
139,METRO de Madrid recuerda que entre Plaza de Castilla (sede de Bankia) y Banco de España hay una parada en Tribunal.,referencial
140,"""Mi identidad secreta es Justin Bieber, pero en realidad yo soy linterna verde"" -Justin.",poetica
141,"Les dije que el cheque ""a mi nombre"" que circularon en twitter y FB era falso. Hoy BBVA lo confirma con esta carta http://t.co/0CpA74ik",referencial
142,"En el Monopoly ""edición Bankia"" no hay casilla de cárcel y cada vez que necesites dinero puedes usar el de los otros jugadores.",poetica
143,"Peña Nieto, ante  BBVA  se comprometió ejercer una presidencia democrática y no de imposición http://t.co/Um29TcEa @chepo_06 #ingeniomexico",referencial
144,Audi lanza al mercado otro carro arrechísimo que no puedes comprar --&gt; http://t.co/cf5EnSIa,referencial
145,Cada vez que habla el Presidente de Bankia muere una hucha de cerdito en algún lugar de España,poetica
146,"La Torre Foster costo a #Bankia 815 millones, solo se esta usando una planta, tenemos 43 para realojar los desahucios de #Bankiaesnuestra",referencial
147,FOTO: Mi hermano Tony jugando en el equipo de @3gerardpique ! Han ganado a los amigos de Puyi 11-8! Shak http://t.co/N9Mmh03J,referencial
148,"@BBVA apoya el proyecto solidario de @FAMDIF , Federación de #Asociaciones #Murcianas de Personas con... http://t.co/K5VxiXGQ",referencial
149,Escribir en el iPhone una canción completa de Shakira y que el corrector entre en modo auto destrucción.,poetica
150,Atención querido @coquick mira la proxima canción de tu querida Adele :) http://t.co/M3NRtMUz Para que veas que me acuerdo de ti ;),apelativa
151,"Justin Bieber podría ir a la cárcel y hay personas que se alegran por eso, no entiendo. A mi me parece injusto.",referencial
152,Rato pactó con Rajoy y Esperanza Aguirre que no se le investigaría por su actuación en Bankia http://t.co/BwNgLLrF,referencial
153,Los mineros no entienden que haya dinero para rescatar a Bankia y no para el sector. La policía dando palos. #ascodegobierno,referencial
154,#Ford mantiene sus ojos en el camino de los medios de comunicación sociales (ENG).- http://t.co/5WZEesDW #SocialMedia #Brands,referencial
155,"En el foro de BBVA mientas Josefina se lleva una ovación de pie, EPN intenta enseñarle el padre nuestro al señor cura  y queda mal",referencial
156,"Lady Gaga, la reina de Twitter supera la barrera de los 25 millones de seguidores",referencial
157,El doble de Justin Bieber o_____o' ofúuu ;_; http://t.co/4iO3jcNo,emotiva
158,"""@NotasBTRush: ¿Sabias Que? Antes de salir al escenario los chicos cantan algunas canciones de Maroon 5, Jack Johnson, etc. @Seeba_BTR",referencial
159,Por hacerme creer que cuando crezca me seguiré viendo joven Thank You Madonna,emotiva
160,"Lady Gaga supera al Presi, jaja en el tweéter.  Y el Cree que se la esta comiendo, con piches 3 millones de seguidores",referencial
161,Maroon 5 en Paraguay: Dan a conocer precios de entradas - http://t.co/are7vyXN,referencial
162,Madonna comienza su gira mundial en Israel. http://t.co/sAg13UgH,referencial
163,"Concierto de #Madonna. ""Quiero paz en el mundo. ""Empezad aquí hoy, in the Middle East, entnces habrá paz en el resto"" http://t.co/jO6U44WE",referencial
164,Justin Bieber podría pasar los siguientes 6 meses en la cárcel por haber golpeado a un paparazzi: http://t.co/Q8uU0fiV,referencial
165,"""Si tenemos paz en Medio Oriente, tendremos paz en todo el mundo"" Madonna dixit hace un rato en Tel Aviv.",referencial
166,Lo de BANKIA chorrea sangre cara dura y poca verguenza,poetica
167,Cantar en el metro para juntar dinero e ir al concierto de Maroon 5.,emotiva
168,Alguien va al concierto de Maroon 5? :),apelativa
169,#YoDariaLoQueFueraPor un regreso de Maroon 5 a VENEZUELA!!,emotiva
170,@LupitaMorenoM Ahora te gustan más ellos que Justin Bieber,emotiva
171,"@SANTOSGZAPATA Cretino es Chávez que le quiere regalar una casa a su seguidor 3 millones.Resulta que Lady gaga si se lanza,le gana de calle",referencial
172,@jlluesma @diariodeteruel ¡¡Universidad San Ferrari de todos los Santos Alonsos!!! #loveo #launiversitatméràpidadelmón,poetica
173,"Honda Acura: Office
URL: http://t.co/HGAhNs1C",referencial
174,"Arianne Phillips creó el vestuario de #Madonna p/ #MDNAWorldTour; tmbn usará ropa de Jean Paul Gaultier, Miu Miu, Alexander McQueen y Prada",referencial
175,No se pierdan créditos al final. RT “@rosacardenesd: Bulería a Bankia en una CajaMadrid  YouTube.flv: http://t.co/4IimynjF vía @youtube”,apelativa
176,"La lista de familiares y miembros del PP colocados en Bankia - http://t.co/mhTSUePi RT por favor, que circule.",apelativa
177,Me cae mejor 1D que justin bieber #justsaying,emotiva
178,"""@eluniversocom: #Madonna llena Tel Aviv de ritmo en la apertura de su mayor gira mundial. http://t.co/tX8A9SKL"" no voy a poder ir :'(",referencial
179,"Primero los Jonas Brothers, después Justin Bieber y ahora One Direction, y la música de todos es ¡horrible!",emotiva
180,"La crisis del euro, Bankia, la comparecencia del presidente del Supremo, El Viajero, en #portada http://t.co/jp1SizDq http://t.co/0d8VkPoT",referencial
181,"Grandes empresas dominan el mundo Astergo, Umbrella y Bankia",referencial
182,"Madonna lucirá un Gaultier ""3D"" en su nueva gira mundial: *http://t.co/2zuo2IzM...",referencial
183,"#YoDariaLoQueFueraPor regresar el tiempo, estar desde los años 60 e ir a todos los conciertos de los beatles:(",apelativa
184,"Promo ""MDNA"" tour Tel Aviv, ISRAEL - Madonna (31-05-2012): http://t.co/y3fOXqG2 vía @youtube",referencial
185,"@luanacorreab U2, amo",emotiva
186,Este es el plano de Maroon 5 en el Jockey Club con todos los sectores http://t.co/xsGHqCQm,referencial
187,@LeoBarca23 @zavalaf1 @zurdomayagarcia @oels2001 @alexlao2611 hablando del Justin Bieber cuando viene?,apelativa
188,Lady Gaga supera los 25 millones de seguidores en Twitter http://t.co/bWPTEl5K,referencial
189,Contacto Audi A3: Diseño y tecnología: Diseño exterior Dicen que dentro de las características del buen diseño e... http://t.co/ItLNoDkc,referencial
190,Adele y One Direction convergen entre los más vendidos en América Latina http://t.co/jlBLpMdZ,referencial
191,"Primeras imagenes del Tour ""MDNA"" que Madonna traera a Chile: http://t.co/kyh0aZa1",referencial
192,Jennifer Lopez - Bailar Nada Más by rachlannes via #soundcloud http://t.co/1MjIAi8n,referencial
193,Me ha gustado un vídeo de @YouTube.de @madonnaqueenoq http://t.co/5GqsVVIZ Madonna's Truth Or Dare Fragrance Com,emotiva
194,"Marqué un video de @YouTube como Me gusta http://t.co/ql9RFrNH Justin Bieber asks ""Can I Be Your Boyfriend?"" in Oslo, Nor",emotiva
195,La banca pierde 11.000 millones de valor bursátil por la crisis de Bankia http://t.co/KZa5JqDT #economia #finanzas,referencial
196,El excuñado de Rato juzgado en Londres trabaja para Bankia - Economía y empresas http://t.co/4HYgjJ7I vía @elconfidencial,apelativa
197,#cantstoplistening The Beatles - I'm So Tired (2009 Stereo Remaster): http://t.co/YuBw6Y8O vía @youtube,referencial
198,Driving Honda SUV @nicole_leyva te puedo ayudar? ^^ http://t.co/pTLICqat Congrats Infinite,fatica
199,"@shakira que Dios te llene de muchas bendiciones y salud ,eres una bella persona .",fatica
200,El excuñado de Rato juzgado en Londres trabaja para Bankia - Economía y empresas http://t.co/aUluh0PO vía @elconfidencial,referencial
201,El BCE acusa a España de gestionar la crisis de Bankia de la peor manera posible http://t.co/iGcQ0nBP,referencial
202,Lady Gaga tiene más seguidores que Obama: 25 millones http://t.co/2LvvO7S0,referencial
203,Lady Gaga-Alejandro: http://t.co/gYNhAwuS  //esa m pone sentimental:( la usaba de despertador cuando iba a mi vieja escuela:c #aveceslaodie,emotiva
204,"Despues d saber q probablement se inyectara dinero n Bankia sin necesidad d q sea deuda publica española, me hace pensar q hoy Bamkia subirá",referencial
205,Madonna abre su mayor gira mundial en Tel Aviv http://t.co/PTQzBQEZ,referencial
206,"#EresPendejoSi Eres Gay, Y Le Dices Gay a Justin Bieber",poetica
207,@Kariuko @gonzapeonza @kikolo777 ¿Para cuando Justin Bieber ft Kariuko?.,apelativa
208,Jual Toyota Vios All New G A/t http://t.co/kN1L5mzp,referencial
209,Goirigolzarri valora Bankia en 7.000 millones frente a los 2.000 que vale ... http://t.co/4G65lCz2.. antes la valoro en -25.000 millones,referencial
210,Las otras bankias de la bolsa: Mucho se habla del fiasco de Bankia en bolsa desde que empezó a cotiza el pasado ... http://t.co/LUCE8kQb,referencial
211,Miembros del anterior consejo de Bankia sopesan ir a los juzgados: http://t.co/e6COtoaN vía @LaVanguardia,referencial
212,Imagen del Porsche de Carchat para el #rallyeriasbaixas http://t.co/DwkFbzxa,referencial
213,El Valencia puede ver peligrar su participación en Champions debido a la crisis de Bankia y la Generalitat http://t.co/cwcDyWNx,referencial
214,BUEEEEEEEEEEEEEEEEENOS DIAS! :D me he levantado con la canción de let it be de los beatles así que aquí os la dejo! http://t.co/lRy4xr10 ^^,referencial
215,"España no debe reflotar Bankia, debe eliminarla  http://t.co/Cxj1Hfya via @elblogsalmon",referencial
216,"""@aribrailovsky: Fichamos al Centro de #Innovación del #BBVA para nuestro canal de Innovación http://t.co/ryrVU9eq""",referencial
217,"El país ahora no está para: echar a Dívar, investigar Bankia, huelgas y protestas, que la Iglesia pague el IBI,... ¿Para qué coño estamos?",emotiva
218,"Agnte033 España,  Hace un par de días escribí un artículo titulado BCE rechaza la maniobra española sobre Bankia,... http://t.co/z2bivA3S",referencial
219,La consejera delegada d Bankinter dice q el rescate a Bankia es competencia desleal para otros bancos q sí han cumplido. Tiene razon,referencial
220,El Principio de Bankímedes Todo euro depositado en Bankia se volatiliza al poco Rato,poetica
221,"RT @x_net_: 23.500 millones € de dinero público a Bankia y protegen a responsables del expolio, pej. Rodrigo Rato #iaoflautaspaRato...",referencial
222,#iaioflautasPaRato tomando oficinas de bankia. Porque salvan a los bancos mientras desahucian y precarizan a la gente. ¡Sois un ejemplo!,emotiva
223,"En Palma de Mallorca los @Iaioflautailles ya ha entrado. Están en Alejandro Roselló 26, sede de Bankia  #iaioflautasparato",referencial
224,"Principio de Bankímedes resumido: ""Al pasar la #Bankia me dijo el banquero...""  (Foto) http://t.co/SCRBvwi3",poetica
225,#iaioflautasPaRato Los @yayoflautas en la puerta de la sucursal de Bankia de la Plaza Celenque http://t.co/5NG7oxMz,referencial
226,"Las oficinas de Bankia son nuestras, nos han costado nuestra educación, sanidad, y 10.000 millones mas! PODEMOS ESTAR AHÍ #iaioflautasPaRato",referencial
227,El Comercio Digital (Asturias) Shakira puede estar tranquila con Bar Refaeli El Comercio… http://t.co/vddeCz0f,referencial
228,Audi ha confirmado lo que os contaba esta mañana: Gené sustituye a Bernhard en Le Mans #medallita,referencial
229,Leyendo cargos de bankia @iaioflautas http://t.co/bitigQYp,referencial
230,Dulce y María Conchita Alonso homenajearán a Whitney Houston  http://t.co/vQc6mQas,referencial
231,A Bankia solo le queda pedir un helicoptero en la azotea y que los billetes no estén marcados ni sean consecutivos,poetica
232,FOTOS: Madonna seduce a Israel en su gira mundial  http://t.co/hvHbFbPn,referencial
233,"Revista de prensa: Apoyo a Navantia y bronca del BCE por Bankia: 
TCAM-ANDALUCÍA/María José Romero. 
La prensa a... http://t.co/JmoYIoWo",referencial
234,Noruega a punto de declarar el Estado de Emergencia por Justin Bieber. 50 heridos. Las imágenes que veréis en @sextaNoticias son #DeTraca,referencial
235,"#Emol Las ventas de vehículos en Japón subieron un 66,3 % en mayo: Toyota Motor volvió a liderar esta área con 1... http://t.co/EkfkkzpV",referencial
236,"BBVA e Iberdrola pactan la desinversión ""ordenada"" en el grupo Corporación IBV
http://t.co/nF9MEWaD",referencial
237,Pérez Rivera: Bankia y la ética de la irresponsabilidad http://t.co/VElHVDtL,referencial
238,"Justin Bieber pasa a protagonizar el anuncio de evax de ""me gusta ser mujer""",poetica
